Global cost,Global NV,Global TD,Global time
26.9997977413,26,3147.55123394,0.7146749496459961
24.9997996217,24,3177.08936336,1.1708941459655762
23.9997903096,23,3035.9987792,1.6118457317352295
23.9997817024,23,2916.29289037,3.3817641735076904
22.9997834607,22,2939.97370757,3.827735185623169
22.9997765793,22,2849.42192099,5.610064506530762
21.999784159,21,2949.48514831,6.506510019302368
21.9997818012,21,2917.61368868,6.957266092300415
21.9997757689,21,2839.12378908,8.75139331817627
21.9997710758,21,2780.91997497,10.029767990112305
21.9997702201,21,2770.56332809,14.057279109954834
20.9997597777,20,2650.12777689,15.87910771369934
20.9997558884,20,2607.90414011,18.640849113464355
19.9997625369,19,2680.92094577,20.00995922088623
19.9997593523,19,2645.44243548,25.626991987228394
19.9997563632,19,2612.98729075,26.09304690361023
19.9997540081,19,2587.9701719,38.363529205322266
19.9997507707,19,2554.35370088,38.849151611328125
19.9997498769,19,2545.22536933,45.95556592941284
19.9997493492,19,2539.86749116,60.16893291473389
18.9997519214,18,2566.20128384,61.04440236091614
18.9997374662,18,2424.90590657,77.67261123657227
18.999732056,18,2375.94326035,85.42842221260071
18.9997305457,18,2362.6260907,87.39814019203186
18.999728625,18,2345.90415486,88.90566778182983
18.9997231517,18,2299.52589595,89.40208315849304
18.9997220321,18,2290.26357092,90.51399207115173
18.99971879,18,2263.85917319,145.28305053710938
17.9997141577,17,2227.17151689,187.03562808036804
17.9997122128,17,2212.11943233,213.84664344787598
16.9997037428,16,2148.87539217,230.60551929473877
16.999698736,16,2113.16259932,317.67302083969116
16.9996976008,16,2105.22978082,333.3715627193451
16.9996965126,16,2097.68081388,365.5668523311615
16.9996965001,16,2097.59419226,366.07613730430603
16.9996954751,16,2090.53395132,569.5861263275146
16.9996948819,16,2086.47003508,571.5815260410309
16.9996911118,16,2061.00336537,574.6512718200684
16.9996806479,16,1993.47275231,819.5924890041351
16.9996792564,16,1984.82410912,852.3594834804535
16.999677108,16,1971.61839784,870.3953387737274
16.9996749724,16,1958.66370494,1218.133915901184
16.9996704307,16,1931.6717894,1341.2526316642761
16.999668656,16,1921.32539962,1360.6488518714905
16.9996684918,16,1920.37371934,1424.431335926056
15.99969694,15,2100.63940684,1902.2647018432617
15.9996936053,15,2077.77677246,1937.4002208709717
15.9996891587,15,2048.05383244,1938.455316543579
15.999686052,15,2027.78719188,1938.9797050952911
15.9996847134,15,2019.17785965,1941.0793001651764
15.9996846105,15,2018.51932689,1944.2315075397491
15.9996619172,15,1883.02887759,1994.2403078079224
15.9996618332,15,1882.5614846,1995.3069005012512
15.9996560114,15,1850.69987908,1996.3586797714233
15.9996559493,15,1850.36579043,2003.7993762493134
15.9996550285,15,1845.42697656,2022.5277435779572
15.9996511271,15,1824.79002359,2025.6085574626923
15.9996480954,15,1809.06925575,2029.2519557476044
15.9996429425,15,1782.96146896,2139.038251876831
15.9996421669,15,1779.096822,2172.608505010605
