Global cost,Global NV,Global TD,Global time
16.9998515603,16,4288.74272984,0.5621640682220459
13.9998357852,13,3876.75062807,0.9648709297180176
12.9998330863,12,3814.06571105,1.323796033859253
10.9998331796,10,3816.19932375,1.6781818866729736
9.99983011825,9,3747.42866791,2.035585403442383
8.99982901643,8,3723.28025563,3.433283805847168
8.99980637187,8,3287.84745973,6.273602485656738
7.99983398149,7,3834.63118563,7.684072017669678
7.99982121083,7,3560.72877955,8.408944129943848
7.99981938809,7,3524.79390568,8.759294033050537
6.99982322173,6,3601.23316883,9.115148305892944
6.99982072606,6,3551.10029697,14.139014720916748
6.99981996996,6,3536.18627235,14.495201349258423
6.99981889909,6,3515.2763434,20.619773626327515
6.99981781952,6,3494.44552242,20.98586392402649
6.99981719915,6,3482.5864713,27.52241611480713
6.99979123103,6,3049.39834706,32.59407711029053
6.99979110458,6,3047.55238431,52.352689027786255
6.9997898158,6,3028.86589357,60.40708661079407
6.99978570181,6,2970.71914419,61.7374849319458
6.9997845183,6,2954.40278057,79.29115080833435
5.99980481424,5,3261.60968658,104.18678307533264
5.99979527904,5,3109.69501128,108.93795967102051
5.99978571936,5,2970.96250364,118.8563666343689
5.99977580166,5,2839.53818518,133.43756103515625
5.99977521337,5,2832.10676953,158.2697672843933
5.99976983638,5,2765.94421112,201.0363254547119
5.99975330643,5,2580.60936902,204.1764736175537
5.99975167044,5,2563.60839141,208.11971473693848
5.99974724903,5,2518.76274722,209.29335927963257
5.99974408763,5,2487.64734307,243.2688500881195
5.99974084682,5,2456.53843197,312.54339694976807
5.9997372705,5,2423.09957426,401.35478472709656
5.99973187345,5,2374.32557685,404.9048743247986
5.99973176329,5,2373.35048058,406.6861469745636
5.99971760629,5,2254.36938703,420.9263119697571
5.99971408162,5,2226.57853871,449.08982396125793
5.99970349241,5,2147.06045678,453.2030279636383
5.99970205498,5,2136.7019981,472.2313859462738
5.99969848418,5,2111.39741051,516.6776640415192
5.99969240391,5,2069.6613235,598.2394406795502
5.99968788302,5,2039.68306103,600.076892375946
5.99968464973,5,2018.77019854,654.6988730430603
5.99968261429,5,2005.82350301,768.0204935073853
5.99968046893,5,1992.35622747,775.95827460289
5.99967869921,5,1981.38238433,793.9616639614105
5.99967455374,5,1956.14391674,878.1955051422119
5.99967100041,5,1935.01674108,881.9772174358368
5.99966420849,5,1895.87795283,1020.3200354576111
5.99966292012,5,1888.6316119,1021.7295644283295
5.9996623106,5,1885.22264697,1056.4201319217682
5.99966018775,5,1873.44541893,1290.9495408535004
5.99965742136,5,1858.3170223,1311.2297551631927
5.99965502988,5,1845.43433631,1312.173344373703
5.99965267828,5,1832.93953857,1314.5233798027039
4.9997063741,4,2168.13207858,1340.04026222229
4.99970028508,4,2124.08416928,1373.4545381069183
4.99968723252,4,2035.4408837,1383.1062116622925
4.99967159142,4,1938.49906049,1476.9721281528473
4.99966237947,4,1885.60722914,1490.5034642219543
4.99966236667,4,1885.53572046,1511.9676504135132
4.99966221445,4,1884.68603543,1787.8892133235931
4.99965276191,4,1833.38096062,1929.2340166568756
4.99965079325,4,1823.04525115,2180.9246079921722
4.99964978958,4,1817.82057279,2446.165298938751
4.9996267502,4,1705.61296618,2450.4862422943115
4.99962199814,4,1684.17081635,2495.749148607254
4.99962066771,4,1678.26391872,2892.372782468796
4.99961585987,4,1657.25903249,2894.7165172100067
4.99961452041,4,1651.50038689,2905.600120306015
4.99959978311,4,1590.68670491,2921.3558547496796
4.99959793037,4,1583.35680236,2945.680235862732
4.99959390016,4,1567.64327193,3119.9929826259613
4.99958978386,4,1551.91281398,3340.895837545395
4.99958897389,4,1548.85461997,3449.209074497223
4.99957941329,4,1513.64667271,3548.7703297138214
4.99957503723,4,1498.05989797,3831.0346591472626
4.99957412899,4,1494.86503251,3901.081647634506
4.99957118277,4,1484.59444677,3990.6383712291718
4.99956875603,4,1476.24019211,4013.243419647217
4.99955484927,4,1430.1215795,4162.584764480591
4.9995301301,4,1354.8849501,4484.631422758102
4.99952936694,4,1352.68791309,4488.285452842712
4.99952391086,4,1337.18582366,4557.17143034935
4.99952362321,4,1336.3784124,4643.992539644241
4.99952175418,4,1331.15571113,4999.259910583496
